Date,Daily cases,Total positives,Total positives variation,Total intensive care,Total hospitalized,Total deaths,Tests,Daily intensive care,Daily hospitalized,Daily deaths,Daily tests
2020-10-22,16079,169302,13860,992,10686,36968,14132421,66.0,703.0,136.0,170392.0
2020-10-23,19143,186002,16700,1049,11598,37059,14314453,57.0,912.0,91.0,182032.0
2020-10-24,19644,203182,17180,1128,12415,37210,14492122,79.0,817.0,151.0,177669.0
2020-10-25,21273,222241,19059,1208,13214,37338,14654002,80.0,799.0,128.0,161880.0
2020-10-26,17012,236684,14443,1284,14281,37479,14778688,76.0,1067.0,141.0,124686.0
2020-10-27,21994,255090,18406,1411,15366,37700,14953086,127.0,1085.0,221.0,174398.0
2020-10-28,24991,276457,21367,1536,16517,37905,15152038,125.0,1151.0,205.0,198952.0
2020-10-29,26831,299191,22734,1651,17615,38122,15353490,115.0,1098.0,217.0,201452.0
2020-10-30,31084,325786,26595,1746,18740,38321,15568575,95.0,1125.0,199.0,215085.0
2020-10-31,31758,351386,25600,1843,19809,38618,15784461,97.0,1069.0,297.0,215886.0
2020-11-01,29907,378129,26743,1939,20841,38826,15967918,96.0,1032.0,208.0,183457.0
2020-11-02,22253,396512,18383,2022,21862,39059,16103649,83.0,1021.0,233.0,135731.0
2020-11-03,28244,418142,21630,2225,23339,39412,16285936,203.0,1477.0,353.0,182287.0
2020-11-04,30550,443235,25093,2292,24408,39747,16497767,67.0,1069.0,335.0,211831.0
2020-11-05,34505,472348,29113,2391,25647,40192,16717651,99.0,1239.0,445.0,219884.0
2020-11-06,37809,499118,26770,2515,26520,40638,16951896,124.0,873.0,446.0,234245.0
2020-11-07,39811,532536,33418,2634,27743,41063,17183569,119.0,1223.0,425.0,231673.0
2020-11-08,32616,558636,26100,2749,29189,41394,17374713,115.0,1446.0,331.0,191144.0
2020-11-09,25271,573334,14698,2849,30485,41750,17522438,100.0,1296.0,356.0,147725.0
2020-11-10,35098,590110,16776,2971,31604,42330,17740196,122.0,1119.0,580.0,217758.0
2020-11-11,32961,613358,23248,3081,32525,42953,17965836,110.0,921.0,623.0,225640.0
2020-11-12,37978,635054,21696,3170,33043,43589,18200508,89.0,518.0,636.0,234672.0
2020-11-13,40902,663926,28872,3230,34144,44139,18455416,60.0,1101.0,550.0,254908.0
2020-11-14,37255,688435,24509,3306,34704,44683,18683111,76.0,560.0,544.0,227695.0
2020-11-15,33979,712490,24055,3422,35469,45229,18878386,116.0,765.0,546.0,195275.0
2020-11-16,27354,717784,5294,3492,36028,45733,19031049,70.0,559.0,504.0,152663.0
2020-11-17,32191,733810,16026,3612,36686,46464,19239507,120.0,658.0,731.0,208458.0
2020-11-18,34282,743168,9358,3670,37174,47217,19474341,58.0,488.0,753.0,234834.0
2020-11-19,36176,761671,18503,3712,37322,47870,19724527,42.0,148.0,653.0,250186.0
2020-11-20,37242,777176,15505,3748,37705,48569,19962604,36.0,383.0,699.0,238077.0
2020-11-21,34767,791746,14570,3758,37821,49261,20199829,10.0,116.0,692.0,237225.0
2020-11-22,28337,805947,14201,3801,38080,49823,20388576,43.0,259.0,562.0,188747.0
2020-11-23,22930,796849,-9098,3810,38507,50453,20537521,9.0,427.0,630.0,148945.0
2020-11-24,23232,798386,1537,3816,38393,51306,20726180,6.0,-114.0,853.0,188659.0
2020-11-25,25853,791697,-6689,3848,38161,52028,20956187,32.0,-232.0,722.0,230007.0
2020-11-26,29003,795845,4148,3846,37884,52850,21188898,-2.0,-277.0,822.0,232711.0
2020-11-27,28352,787893,-7952,3782,37466,53677,21411701,-64.0,-418.0,827.0,222803.0
2020-11-28,26323,789308,1415,3762,37061,54363,21637641,-20.0,-405.0,686.0,225940.0
2020-11-29,20648,795771,6463,3753,36632,54904,21814575,-9.0,-429.0,541.0,176934.0
2020-11-30,16377,788471,-7300,3744,36931,55576,21945099,-9.0,299.0,672.0,130524.0
2020-12-01,19350,779945,-8526,3663,36474,56361,22127199,-81.0,-457.0,785.0,182100.0
2020-12-02,20709,761230,-18715,3616,36070,57045,22334342,-47.0,-404.0,684.0,207143.0
2020-12-03,23225,759982,-1248,3597,35369,58038,22554389,-19.0,-701.0,993.0,220047.0
2020-12-04,24099,757702,-2280,3567,34767,58852,22767130,-30.0,-602.0,814.0,212741.0
2020-12-05,21052,754169,-3533,3517,33675,59514,22962114,-50.0,-1092.0,662.0,194984.0
2020-12-06,18887,755306,1137,3454,33845,60078,23125664,-63.0,170.0,564.0,163550.0
2020-12-07,13720,748819,-6487,3382,33906,60606,23236881,-72.0,61.0,528.0,111217.0
2020-12-08,14842,737525,-11294,3345,33426,61240,23386113,-37.0,-480.0,634.0,149232.0
2020-12-09,12756,710515,-27010,3320,32973,61739,23504588,-25.0,-453.0,499.0,118475.0
2020-12-10,16999,696527,-13988,3291,32379,62626,23676174,-29.0,-594.0,887.0,171586.0
2020-12-11,18727,690323,-6204,3265,31827,63387,23866590,-26.0,-552.0,761.0,190416.0
2020-12-12,19903,684848,-5475,3199,31265,64036,24063029,-66.0,-562.0,649.0,196439.0
2020-12-13,17938,686031,1183,3158,30893,64520,24215726,-41.0,-372.0,484.0,152697.0
2020-12-14,12030,675109,-10922,3095,30860,65011,24319310,-63.0,-33.0,491.0,103584.0
2020-12-15,14844,663313,-11796,3003,30345,65857,24483741,-92.0,-515.0,846.0,164431.0
2020-12-16,17572,645706,-17607,2926,29823,66537,24683230,-77.0,-522.0,680.0,199489.0
2020-12-17,18236,635343,-10363,2855,29282,67220,24635720,-71.0,-541.0,683.0,-47510.0
2020-12-18,17992,627798,-7545,2819,28588,67894,24815520,-36.0,-694.0,674.0,179800.0
2020-12-19,16308,620166,-7632,2784,28148,68447,24991705,-35.0,-440.0,553.0,176185.0
2020-12-20,15104,622760,2594,2743,27901,68799,25129125,-41.0,-247.0,352.0,137420.0
2020-12-21,10872,613582,-9178,2731,27876,69214,25217014,-12.0,-25.0,415.0,87889.0
2020-12-22,13318,605955,-7627,2687,27635,69842,25374719,-44.0,-241.0,628.0,157705.0
2020-12-23,14522,598816,-7139,2624,27170,70395,25558583,-63.0,-465.0,553.0,183864.0
2020-12-24,18040,593632,-5184,2589,26659,70900,25752360,-35.0,-511.0,505.0,193777.0
2020-12-25,19037,579886,-13746,2584,25986,71359,25904694,-5.0,-673.0,459.0,152334.0
2020-12-26,10431,580943,1057,2580,25892,71627,25986258,-4.0,-94.0,268.0,81564.0
2020-12-27,8913,581760,817,2580,26151,71925,26046137,0.0,259.0,298.0,59879.0
2020-12-28,8585,575221,-6539,2565,26497,72370,26114818,-15.0,346.0,445.0,68681.0
2020-12-29,11224,568728,-6493,2549,26211,73029,26243558,-16.0,-286.0,659.0,128740.0
2020-12-30,16202,564395,-4333,2528,26094,73604,26412603,-21.0,-117.0,575.0,169045.0
2020-12-31,23477,569896,5501,2555,25706,74159,26598607,27.0,-388.0,555.0,186004.0
2021-01-01,22211,574767,4871,2553,25375,74621,26756131,-2.0,-331.0,462.0,157524.0
2021-01-02,11831,577062,2295,2569,25517,74985,26823305,16.0,142.0,364.0,67174.0
2021-01-03,14245,576214,-848,2583,25658,75332,26926279,14.0,141.0,347.0,102974.0
2021-01-04,10800,570458,-5756,2579,25896,75680,27004272,-4.0,238.0,348.0,77993.0
2021-01-05,15378,569161,-1297,2569,25964,76329,27139378,-10.0,68.0,649.0,135106.0
2021-01-06,20331,568712,-449,2571,25745,76877,27317974,2.0,-219.0,548.0,178596.0
2021-01-07,18020,571055,2343,2587,25878,77291,27439249,16.0,133.0,414.0,121275.0
2021-01-08,17533,570389,-666,2587,25900,77911,27579516,0.0,22.0,620.0,140267.0
2021-01-09,19978,572842,2453,2593,25853,78394,27751635,6.0,-47.0,483.0,172119.0
2021-01-10,18627,579932,7090,2615,26042,78755,27891393,22.0,189.0,361.0,139758.0
2021-01-11,12532,575979,-3953,2642,26245,79203,27983049,27.0,203.0,448.0,91656.0
2021-01-12,14242,570040,-5939,2636,26348,79819,28124690,-6.0,103.0,616.0,141641.0
2021-01-13,15774,564774,-5266,2579,26104,80326,28300119,-57.0,-244.0,507.0,175429.0
2021-01-14,17246,561380,-3394,2557,25667,80848,28460704,-22.0,-437.0,522.0,160585.0
2021-01-15,16146,558068,-3312,2522,25363,81325,28734210,-35.0,-304.0,477.0,273506.0
2021-01-16,16310,557717,-351,2520,25304,81800,28995614,-2.0,-59.0,475.0,261404.0
2021-01-17,12545,553374,-4343,2503,25260,82177,29206692,-17.0,-44.0,377.0,211078.0
2021-01-18,8825,547059,-6315,2544,25428,82554,29365366,41.0,168.0,377.0,158674.0
2021-01-19,10497,535524,-11535,2487,25186,83157,29619436,-57.0,-242.0,603.0,254070.0
2021-01-20,13571,523553,-11971,2461,24930,83681,29899198,-26.0,-256.0,524.0,279762.0
2021-01-21,14078,516568,-6985,2418,24463,84202,30166765,-43.0,-467.0,521.0,267567.0
2021-01-22,13633,502053,-14515,2390,24081,84674,30431493,-28.0,-382.0,472.0,264728.0
2021-01-23,13331,498834,-3219,2386,23789,85162,30717824,-4.0,-292.0,488.0,286331.0
2021-01-24,11629,499278,444,2400,23709,85461,30934035,14.0,-80.0,299.0,216211.0
2021-01-25,8562,491630,-7648,2421,23845,85881,31060966,21.0,136.0,420.0,126931.0
2021-01-26,10593,482417,-9213,2372,23727,86422,31317253,-49.0,-118.0,541.0,256287.0
2021-01-27,15204,477969,-4448,2352,23513,86889,31611023,-20.0,-214.0,467.0,293770.0
2021-01-28,14372,474617,-3352,2288,23066,87381,31886602,-64.0,-447.0,492.0,275579.0
2021-01-29,13574,467824,-6793,2270,22667,87858,32155352,-18.0,-399.0,477.0,268750.0
2021-01-30,12715,463352,-4472,2218,22316,88279,32453362,-52.0,-351.0,421.0,298010.0
2021-01-31,11252,453968,-9384,2215,22311,88516,32666726,-3.0,-5.0,237.0,213364.0
2021-02-01,7925,447589,-6379,2252,22512,88845,32809145,37.0,201.0,329.0,142419.0
2021-02-02,9660,437765,-9824,2214,22531,89343,33053574,-38.0,19.0,498.0,244429.0
2021-02-03,13189,434722,-3043,2145,22216,89819,33332881,-69.0,-315.0,476.0,279307.0
2021-02-04,13659,430277,-4445,2151,21894,90241,33603023,6.0,-322.0,422.0,270142.0
2021-02-05,14218,429118,-1159,2142,21717,90618,33873530,-9.0,-177.0,377.0,270507.0
2021-02-06,13442,427034,-2084,2110,21518,91003,34155937,-32.0,-199.0,385.0,282407.0
2021-02-07,11641,427024,-10,2107,21373,91273,34362726,-3.0,-145.0,270.0,206789.0
2021-02-08,7970,419604,-7420,2143,21670,91580,34506996,36.0,297.0,307.0,144270.0
2021-02-09,10630,413967,-5637,2143,21655,92002,34781259,0.0,-15.0,422.0,274263.0
2021-02-10,12956,410111,-3856,2128,21408,92338,35092253,-15.0,-247.0,336.0,310994.0
2021-02-11,15146,405019,-5092,2126,21068,92729,35384786,-2.0,-340.0,391.0,292533.0
2021-02-12,13908,402174,-2845,2095,20831,93045,35672405,-31.0,-237.0,316.0,287619.0
2021-02-13,13532,401413,-761,2062,20562,93356,35962939,-33.0,-269.0,311.0,290534.0
2021-02-14,11068,402783,1370,2085,20534,93577,36168581,23.0,-28.0,221.0,205642.0
2021-02-15,7351,398098,-4685,2089,20604,93835,36347859,4.0,70.0,258.0,179278.0
2021-02-16,10386,393686,-4412,2074,20537,94171,36621878,-15.0,-67.0,336.0,274019.0
2021-02-17,12074,388864,-4822,2043,20317,94540,36916289,-31.0,-220.0,369.0,294411.0
2021-02-18,13762,384501,-4363,2045,20008,94882,37204747,2.0,-309.0,342.0,288458.0
2021-02-19,15479,382448,-2053,2059,19890,95235,37501875,14.0,-118.0,353.0,297128.0
2021-02-20,14931,384623,2175,2063,19788,95486,37807953,4.0,-102.0,251.0,306078.0
2021-02-21,13452,388895,4272,2094,19898,95718,38058939,31.0,110.0,232.0,250986.0
2021-02-22,9630,387903,-992,2118,20273,95992,38229611,24.0,375.0,274.0,170672.0
2021-02-23,13314,387948,45,2146,20441,96348,38533461,28.0,168.0,356.0,303850.0
2021-02-24,16424,389433,1485,2157,20374,96666,38873708,11.0,-67.0,318.0,340247.0
2021-02-25,19886,396143,6710,2168,20425,96974,39227412,11.0,51.0,308.0,353704.0
2021-02-26,20499,404664,8521,2194,20486,97227,39552816,26.0,61.0,253.0,325404.0
2021-02-27,18916,411966,7302,2216,20588,97507,39875863,22.0,102.0,280.0,323047.0
2021-02-28,17455,422367,10401,2231,20869,97699,40132887,15.0,281.0,192.0,257024.0
2021-03-01,13114,424333,1966,2289,21401,97945,40303520,58.0,532.0,246.0,170633.0
2021-03-02,17083,430996,6663,2327,21897,98288,40639503,38.0,496.0,343.0,335983.0
2021-03-03,20884,437421,6425,2411,22174,98635,40998387,84.0,277.0,347.0,358884.0
2021-03-04,22865,446439,9018,2475,22632,98974,41338022,64.0,458.0,339.0,339635.0
2021-03-05,24036,456470,10031,2525,22899,99271,41716485,50.0,267.0,297.0,378463.0
2021-03-06,23641,465812,9342,2571,23272,99578,42071509,46.0,373.0,307.0,355024.0
2021-03-07,20765,472862,7050,2605,23749,99785,42342845,34.0,477.0,207.0,271336.0
2021-03-08,13902,472533,-329,2700,24531,100103,42527529,95.0,782.0,318.0,184684.0
2021-03-09,19749,478883,6350,2756,25149,100479,42873501,56.0,618.0,376.0,345972.0
2021-03-10,22409,487074,8191,2827,25709,100811,43234541,71.0,560.0,332.0,361040.0
2021-03-11,25673,497350,10276,2859,26106,101184,43606758,32.0,397.0,373.0,372217.0
2021-03-12,26824,509317,11967,2914,26570,101564,43976394,55.0,464.0,380.0,369636.0
2021-03-13,26062,520061,10744,2982,27135,101881,44349338,68.0,565.0,317.0,372944.0
2021-03-14,21315,531266,11205,3082,27600,102145,44623304,100.0,465.0,264.0,273966.0
2021-03-15,15267,530357,-909,3157,28495,102499,44802319,75.0,895.0,354.0,179015.0
2021-03-16,20396,536115,5758,3256,29354,103001,45171694,99.0,859.0,502.0,369375.0
2021-03-17,23059,539008,2893,3317,29834,103432,45540778,61.0,480.0,431.0,369084.0
2021-03-18,24935,547510,8502,3333,30027,103855,45894515,16.0,193.0,423.0,353737.0
2021-03-19,25735,556539,9029,3364,30222,104241,46259337,31.0,195.0,386.0,364822.0
2021-03-20,23832,565453,8914,3387,30448,104642,46613817,23.0,226.0,401.0,354480.0
2021-03-21,20159,571672,6219,3448,30932,104942,46890903,61.0,484.0,300.0,277086.0
2021-03-22,13846,563067,-8605,3510,31559,105328,47060099,62.0,627.0,386.0,169196.0
2021-03-23,18765,560654,-2413,3546,31974,105879,47395288,36.0,415.0,551.0,335189.0
2021-03-24,21267,561308,654,3588,32026,106339,47759055,42.0,52.0,460.0,363767.0
2021-03-25,23798,562958,1650,3620,32044,106799,48108527,32.0,18.0,460.0,349472.0
2021-03-26,23987,566711,3753,3628,32100,107256,48463509,8.0,56.0,457.0,354982.0
2021-03-27,23776,571815,5104,3635,32256,107636,48820585,7.0,156.0,380.0,357076.0
2021-03-28,19611,573172,1357,3679,32380,107933,49093288,44.0,124.0,297.0,272703.0
2021-03-29,12916,565930,-7242,3721,32884,108350,49249985,42.0,504.0,417.0,156697.0
2021-03-30,16013,562765,-3165,3716,32947,108879,49551432,-5.0,63.0,529.0,301447.0
2021-03-31,22516,561053,-1712,3710,32890,109346,49902497,-6.0,-57.0,467.0,351065.0
2021-04-01,23649,563479,2426,3681,32630,109847,50258742,-29.0,-260.0,501.0,356245.0
2021-04-02,21932,565295,1816,3704,32408,110328,50589896,23.0,-222.0,481.0,331154.0
2021-04-03,21261,564855,-440,3714,32203,110704,50949110,10.0,-205.0,376.0,359214.0
2021-04-04,18025,569035,4180,3703,32135,111030,51200043,-11.0,-68.0,326.0,250933.0
2021-04-05,10680,570096,1061,3737,32522,111326,51302838,34.0,387.0,296.0,102795.0
2021-04-06,7767,555705,-14391,3743,33080,111747,51415800,6.0,558.0,421.0,112962.0
2021-04-07,13708,547837,-7868,3683,32999,112374,51755739,-60.0,-81.0,627.0,339939.0
2021-04-08,17221,544330,-3507,3663,32514,112861,52117901,-20.0,-485.0,487.0,362162.0
2021-04-09,18938,536361,-7969,3603,31749,113579,52466904,-60.0,-765.0,718.0,349003.0
2021-04-10,17567,533085,-3276,3588,31242,113923,52801766,-15.0,-507.0,344.0,334862.0
2021-04-11,15746,533005,-80,3585,30836,114254,53054866,-3.0,-406.0,331.0,253100.0
2021-04-12,9789,524417,-8588,3593,30922,114612,53245501,8.0,86.0,358.0,190635.0
2021-04-13,13447,519220,-5197,3526,30478,115088,53550491,-67.0,-444.0,476.0,304990.0
2021-04-14,16168,514660,-4560,3490,29859,115557,53885257,-36.0,-619.0,469.0,334766.0
2021-04-15,16974,510023,-4637,3417,29004,115937,54204890,-73.0,-855.0,380.0,319633.0
2021-04-16,15943,506738,-3285,3366,28109,116366,54532594,-51.0,-895.0,429.0,327704.0
2021-04-17,15370,505308,-1430,3340,27440,116676,54864328,-26.0,-669.0,310.0,331734.0
2021-04-18,12694,504611,-697,3311,26959,116927,55094444,-29.0,-481.0,251.0,230116.0
2021-04-19,8864,493489,-11122,3244,26986,117243,55241172,-67.0,27.0,316.0,146728.0
2021-04-20,12074,482715,-10774,3151,26406,117633,55535217,-93.0,-580.0,390.0,294045.0
2021-04-21,13844,475635,-7080,3076,25860,117997,55885251,-75.0,-546.0,364.0,350034.0
2021-04-22,16050,472196,-3439,3021,25115,118357,56250055,-55.0,-745.0,360.0,364804.0
2021-04-23,14761,465543,-6653,2979,24419,118699,56565755,-42.0,-696.0,342.0,315700.0
2021-04-24,13817,461448,-4095,2894,23865,119021,56886535,-85.0,-554.0,322.0,320780.0
2021-04-25,13158,461212,-236,2862,23524,119238,57126017,-32.0,-341.0,217.0,239482.0
2021-04-26,8444,452812,-8400,2849,23484,119539,57271836,-13.0,-40.0,301.0,145819.0
2021-04-27,10404,448149,-4663,2748,23060,119912,57574570,-101.0,-424.0,373.0,302734.0
2021-04-28,13385,442771,-5378,2711,22571,120256,57910906,-37.0,-489.0,344.0,336336.0
2021-04-29,14320,438709,-4062,2640,21991,120544,58240981,-71.0,-580.0,288.0,330075.0
2021-04-30,13446,436270,-2439,2583,21523,120807,58579752,-57.0,-468.0,263.0,338771.0
2021-05-01,12965,430542,-5728,2522,20903,121033,58957954,-61.0,-620.0,226.0,378202.0
2021-05-02,9148,430906,364,2524,20869,121177,59114826,2.0,-34.0,144.0,156872.0
2021-05-03,5948,423558,-7348,2490,20885,121433,59236655,-34.0,16.0,256.0,121829.0
2021-05-04,9116,413889,-9669,2423,20599,121738,59552161,-67.0,-286.0,305.0,315506.0
2021-05-05,10585,407129,-6760,2368,19888,122005,59879330,-55.0,-711.0,267.0,327169.0
2021-05-06,11807,402802,-4327,2308,19175,122263,60203970,-60.0,-713.0,258.0,324640.0
2021-05-07,10554,397564,-5238,2253,18584,122470,60532582,-55.0,-591.0,207.0,328612.0
2021-05-08,10176,390120,-7444,2211,18010,122694,60871018,-42.0,-574.0,224.0,338436.0
2021-05-09,8292,383854,-6266,2192,17612,122833,61097024,-19.0,-398.0,139.0,226006.0
2021-05-10,5080,373670,-10184,2158,17585,123031,61227024,-34.0,-27.0,198.0,130000.0
2021-05-11,6946,363859,-9811,2056,16993,123282,61513452,-102.0,-592.0,251.0,286428.0
2021-05-12,7852,352422,-11437,1992,16272,123544,61820196,-64.0,-721.0,262.0,306744.0
2021-05-13,8085,346008,-6414,1893,15501,123745,62107222,-99.0,-771.0,201.0,287026.0
2021-05-14,7567,339606,-6402,1860,14910,123927,62405408,-33.0,-591.0,182.0,298186.0
2021-05-15,6659,332830,-6776,1805,14298,124063,62700094,-55.0,-612.0,136.0,294686.0
2021-05-16,5753,328882,-3948,1779,13913,124156,62902667,-26.0,-385.0,93.0,202573.0
2021-05-17,3455,322891,-5991,1754,13778,124296,63021591,-25.0,-135.0,140.0,118924.0
2021-05-18,4452,315308,-7583,1689,13228,124497,63284455,-65.0,-550.0,201.0,262864.0
2021-05-19,5506,306730,-8578,1643,12661,124646,63571711,-46.0,-567.0,149.0,287256.0
2021-05-20,5741,299486,-7244,1544,11927,124810,63822748,-99.0,-734.0,164.0,251037.0
2021-05-21,5218,291788,-7698,1469,11394,125028,64092492,-75.0,-533.0,218.0,269744.0
2021-05-22,4717,283744,-8044,1430,10918,125153,64379095,-39.0,-476.0,125.0,286603.0
2021-05-23,3995,281092,-2652,1410,10571,125225,64558486,-20.0,-347.0,72.0,179391.0
2021-05-24,2490,276439,-4653,1382,10332,125335,64665967,-28.0,-239.0,110.0,107481.0
2021-05-25,3224,268145,-8294,1323,9880,125501,64918613,-59.0,-452.0,166.0,252646.0
